1	11
2	11
3	12
4	12
5	20
6	20
7	20
8	19
9	26
10	27
11	28
12	28
13	27
14	28
15	27
16	27
17	26
18	26
19	27
20	26
21	27
22	27
23	27
24	27
25	27
26	31
27	29
28	30
29	27
30	28
31	28
32	29
